Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"castles",EA,0,"Panamanian's","Guayaquil",US,FISHER CONTROLS INTERNATIONAL,89306270,,PACKING,,,
"fresco",EA,0,"broadcast's","multifariousness's",GB,FISHER CONTROLS INTERNATIONAL,7854729,,PACKING,,,
"visits",EA,0,"homeliness","Slavic's",CA,FISHER CONTROLS INTERNATIONAL,60007298,,PACKING,,,
"geostationary",EA,0,"nears","Armonk",MX,FISHER CONTROLS INTERNATIONAL,43096008,,PACKING,,,
"fender's",EA,0,"possession","Madagascans",BB,FISHER CONTROLS INTERNATIONAL,29862556,,PACKING,,,
"Cauchy",EA,0,"oceanic's","donate",BT,FISHER CONTROLS INTERNATIONAL,18562388,,PACKING,,,
"Didrikson",EA,0,"resolved","sullenest",BW,FISHER CONTROLS INTERNATIONAL,68138505,,PACKING,,,
"Sinkiang's",EA,0,"petal's","refund",GD,FISHER CONTROLS INTERNATIONAL,62587071,,PACKING,,,
"dismount's",EA,0,"sharkskin's","gravel's",GM,FISHER CONTROLS INTERNATIONAL,54408732,,PACKING,,,
"Honda",EA,0,"patriarchy","soul's",it,FISHER CONTROLS INTERNATIONAL,29974158,,PACKING,,,
"competences",EA,0,"indiscernible","insincerely",PK,FISHER CONTROLS INTERNATIONAL,43199719,,PACKING,,,
"blunter",EA,0,"cigarillo's","uninhabited",PL,FISHER CONTROLS INTERNATIONAL,58036519,,PACKING,,,
"dolphin",EA,0,"pedigree's","campers",VA,FISHER CONTROLS INTERNATIONAL,21346392,,PACKING,,,
"prefecture",EA,0,"trike's","drills",UZ,FISHER CONTROLS INTERNATIONAL,51804853,,PACKING,,,
"thorium's",EA,0,"factionalism's","secularization's",UA,FISHER CONTROLS INTERNATIONAL,92968729,,PACKING,,,
"pantheon's",EA,0,"pier's","batten",YE,FISHER CONTROLS INTERNATIONAL,40136908,,PACKING,,,
"scruffs",EA,0,"Icelandic","pierced",US,FISHER CONTROLS INTERNATIONAL,30157431,,PACKING,,,
"beelines",EA,0,"leans","bleeder",GB,FISHER CONTROLS INTERNATIONAL,67775921,,PACKING,,,
"aromatics",EA,0,"piracy's","mystery's",CA,FISHER CONTROLS INTERNATIONAL,52902815,,PACKING,,,
"island",EA,0,"puzzlers","mulligatawny's",MX,FISHER CONTROLS INTERNATIONAL,8471225,,PACKING,,,
"jolly",EA,0,"indulgence","glad's",BB,FISHER CONTROLS INTERNATIONAL,50208790,,PACKING,,,
"exchange's",EA,0,"joust's","Americanisms",BT,FISHER CONTROLS INTERNATIONAL,1274193,,PACKING,,,
"Hmong",EA,0,"revolt's","gimmickry",BW,FISHER CONTROLS INTERNATIONAL,70099917,,PACKING,,,
"loamy",EA,0,"Odell","boyhoods",GD,FISHER CONTROLS INTERNATIONAL,39705063,,PACKING,,,
"sadly",EA,0,"sloven","nutcracker's",GM,FISHER CONTROLS INTERNATIONAL,7540656,,PACKING,,,
"wintergreen's",EA,0,"papilla's","pawned",it,FISHER CONTROLS INTERNATIONAL,47305062,,PACKING,,,
"legislator",EA,0,"Absalom","disposables",PK,FISHER CONTROLS INTERNATIONAL,72586225,,PACKING,,,
