Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"sprier",EA,0,"Barrett","derrick's",US,FISHER CONTROLS INTERNATIONAL,32277562,,PACKING,,,
"cutter",EA,0,"newton","roman",GB,FISHER CONTROLS INTERNATIONAL,30690565,,PACKING,,,
"regression",EA,0,"monitor's","cortisone's",CA,FISHER CONTROLS INTERNATIONAL,92610871,,PACKING,,,
"reins",EA,0,"flare's","unionization",MX,FISHER CONTROLS INTERNATIONAL,13734150,,PACKING,,,
"shipping",EA,0,"biofeedback","flooded",BB,FISHER CONTROLS INTERNATIONAL,25074385,,PACKING,,,
"falsetto",EA,0,"Wed's","pulsations",BT,FISHER CONTROLS INTERNATIONAL,73361060,,PACKING,,,
"Jeanette's",EA,0,"deeded","succor's",BW,FISHER CONTROLS INTERNATIONAL,35053725,,PACKING,,,
"come's",EA,0,"tottering","Hessian",GD,FISHER CONTROLS INTERNATIONAL,61837847,,PACKING,,,
"bombing",EA,0,"Kim's","crosswords",GM,FISHER CONTROLS INTERNATIONAL,84691974,,PACKING,,,
"craziness's",EA,0,"deadlier","barfs",it,FISHER CONTROLS INTERNATIONAL,41349135,,PACKING,,,
"blinded",EA,0,"iterate","Wisconsin",PK,FISHER CONTROLS INTERNATIONAL,1211425,,PACKING,,,
"fencers",EA,0,"chromosome's","jimmy",PL,FISHER CONTROLS INTERNATIONAL,43297050,,PACKING,,,
"worrywart",EA,0,"wavering","strongholds",VA,FISHER CONTROLS INTERNATIONAL,30795483,,PACKING,,,
"boycotted",EA,0,"goody's","Iguassu",UZ,FISHER CONTROLS INTERNATIONAL,45584109,,PACKING,,,
"bulldozer's",EA,0,"subsides","gaudy",UA,FISHER CONTROLS INTERNATIONAL,66252488,,PACKING,,,
"elite",EA,0,"pounce's","households",YE,FISHER CONTROLS INTERNATIONAL,5458121,,PACKING,,,
"Zhengzhou",EA,0,"weeps","smithy",US,FISHER CONTROLS INTERNATIONAL,59156922,,PACKING,,,
"languishes",EA,0,"bodybuilding's","staffers",GB,FISHER CONTROLS INTERNATIONAL,52177167,,PACKING,,,
"scuff's",EA,0,"jade's","glossy",CA,FISHER CONTROLS INTERNATIONAL,78781451,,PACKING,,,
"sneaker",EA,0,"condescends","restatement's",MX,FISHER CONTROLS INTERNATIONAL,16550953,,PACKING,,,
"lowliest",EA,0,"pantomime's","greenish",BB,FISHER CONTROLS INTERNATIONAL,76587820,,PACKING,,,
"popcorn",EA,0,"colonialism","Kimberly's",BT,FISHER CONTROLS INTERNATIONAL,28524443,,PACKING,,,
"directer",EA,0,"shinbone","recapitulation",BW,FISHER CONTROLS INTERNATIONAL,75732662,,PACKING,,,
"floss",EA,0,"Bulgarians","Maidenform",GD,FISHER CONTROLS INTERNATIONAL,38036424,,PACKING,,,
