Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"unprofitable",EA,0,"arm's","looseness",US,FISHER CONTROLS INTERNATIONAL,5432218,,PACKING,,,
"contemplate",EA,0,"Tudor's","whistled",GB,FISHER CONTROLS INTERNATIONAL,20521643,,PACKING,,,
"arbiter",EA,0,"guideline's","vote's",CA,FISHER CONTROLS INTERNATIONAL,18764263,,PACKING,,,
"Sudanese's",EA,0,"soporific","kite's",MX,FISHER CONTROLS INTERNATIONAL,8917185,,PACKING,,,
"demoniacal",EA,0,"Verizon","lover's",BB,FISHER CONTROLS INTERNATIONAL,93248694,,PACKING,,,
"nobleness",EA,0,"overestimates","deployments",BT,FISHER CONTROLS INTERNATIONAL,74088938,,PACKING,,,
"rapacity's",EA,0,"Nazis","expostulating",BW,FISHER CONTROLS INTERNATIONAL,29988791,,PACKING,,,
"ode's",EA,0,"Sabrina","beast",GD,FISHER CONTROLS INTERNATIONAL,10274361,,PACKING,,,
"butte's",EA,0,"plywood's","inexplicable",GM,FISHER CONTROLS INTERNATIONAL,3682506,,PACKING,,,
"humanness's",EA,0,"lunch's","anthropologist",it,FISHER CONTROLS INTERNATIONAL,57129609,,PACKING,,,
"notably",EA,0,"flurry's","Colombo",PK,FISHER CONTROLS INTERNATIONAL,25286111,,PACKING,,,
"mammography's",EA,0,"prioress","renewal",PL,FISHER CONTROLS INTERNATIONAL,32685425,,PACKING,,,
"noncombatant",EA,0,"firm's","capitulates",VA,FISHER CONTROLS INTERNATIONAL,17028747,,PACKING,,,
"coughing",EA,0,"riotous","Odets",UZ,FISHER CONTROLS INTERNATIONAL,5105582,,PACKING,,,
"Suetonius",EA,0,"unquotes","rocketry's",UA,FISHER CONTROLS INTERNATIONAL,58614927,,PACKING,,,
"spoilers",EA,0,"Pennsylvanian","vibrator's",YE,FISHER CONTROLS INTERNATIONAL,2886979,,PACKING,,,
"peddler",EA,0,"satchel","bo'sun's",US,FISHER CONTROLS INTERNATIONAL,4910010,,PACKING,,,
"indecision",EA,0,"outwear","puncture's",GB,FISHER CONTROLS INTERNATIONAL,59116880,,PACKING,,,
"scared",EA,0,"meningitis's","metropolis",CA,FISHER CONTROLS INTERNATIONAL,20381135,,PACKING,,,
