Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"blonde's",EA,0,"rapist's","repackages",US,FISHER CONTROLS INTERNATIONAL,8798468,,PACKING,,,
"Americanisms",EA,0,"bloats","mountaineered",GB,FISHER CONTROLS INTERNATIONAL,65015657,,PACKING,,,
"textiles",EA,0,"armchair","Deimos",CA,FISHER CONTROLS INTERNATIONAL,36451397,,PACKING,,,
"millipede",EA,0,"balms","Occidentals",MX,FISHER CONTROLS INTERNATIONAL,93228106,,PACKING,,,
"bicker's",EA,0,"patterned","Songhai's",BB,FISHER CONTROLS INTERNATIONAL,701293,,PACKING,,,
"hothouses",EA,0,"office","Pasadena's",BT,FISHER CONTROLS INTERNATIONAL,52879514,,PACKING,,,
"Chernenko's",EA,0,"fourth","wordiness's",BW,FISHER CONTROLS INTERNATIONAL,46389192,,PACKING,,,
"acerbity's",EA,0,"hoaxing","philosophizing",GD,FISHER CONTROLS INTERNATIONAL,31642162,,PACKING,,,
"snowfalls",EA,0,"fashion's","valiant",GM,FISHER CONTROLS INTERNATIONAL,84336001,,PACKING,,,
"irreversible",EA,0,"strangler's","reaffirms",it,FISHER CONTROLS INTERNATIONAL,47974327,,PACKING,,,
"stripes",EA,0,"amorously","illuminates",PK,FISHER CONTROLS INTERNATIONAL,68170114,,PACKING,,,
"Ararat",EA,0,"secession","smuttier",PL,FISHER CONTROLS INTERNATIONAL,2558377,,PACKING,,,
"emote",EA,0,"lying's","slapping",VA,FISHER CONTROLS INTERNATIONAL,16324535,,PACKING,,,
"aggravates",EA,0,"otter","jingoistic",UZ,FISHER CONTROLS INTERNATIONAL,5144210,,PACKING,,,
"Spock",EA,0,"ensemble's","Thoth's",UA,FISHER CONTROLS INTERNATIONAL,66800325,,PACKING,,,
"nursemaid",EA,0,"trend","joshing",YE,FISHER CONTROLS INTERNATIONAL,86251578,,PACKING,,,
"Huntley's",EA,0,"paymaster","unwieldier",US,FISHER CONTROLS INTERNATIONAL,9766783,,PACKING,,,
"extrovert's",EA,0,"adventuress","Utrillo",GB,FISHER CONTROLS INTERNATIONAL,44864361,,PACKING,,,
"calibration",EA,0,"holes","sanctums",CA,FISHER CONTROLS INTERNATIONAL,69686854,,PACKING,,,
"piazze",EA,0,"nomenclature's","undergraduate's",MX,FISHER CONTROLS INTERNATIONAL,31048095,,PACKING,,,
"Alana",EA,0,"stillbirth","pretty's",BB,FISHER CONTROLS INTERNATIONAL,80110751,,PACKING,,,
"boilerplate",EA,0,"Alyssa","fuzzily",BT,FISHER CONTROLS INTERNATIONAL,91531647,,PACKING,,,
"hostiles",EA,0,"burnoose","worry's",BW,FISHER CONTROLS INTERNATIONAL,29968882,,PACKING,,,
"Krebs",EA,0,"Daley's","Frontenac",GD,FISHER CONTROLS INTERNATIONAL,5360709,,PACKING,,,
"Wii's",EA,0,"merest","disbursed",GM,FISHER CONTROLS INTERNATIONAL,53303071,,PACKING,,,
"augmented",EA,0,"interspersed","operettas",it,FISHER CONTROLS INTERNATIONAL,46408995,,PACKING,,,
"gymnast's",EA,0,"scholar's","loanword",PK,FISHER CONTROLS INTERNATIONAL,26347324,,PACKING,,,
"wands",EA,0,"serapes","whooping",PL,FISHER CONTROLS INTERNATIONAL,73981510,,PACKING,,,
"roils",EA,0,"sublimely","Dilbert's",VA,FISHER CONTROLS INTERNATIONAL,76278027,,PACKING,,,
"expel",EA,0,"moots","Pareto",UZ,FISHER CONTROLS INTERNATIONAL,54763691,,PACKING,,,
"inessential's",EA,0,"overtaxed","grouts",UA,FISHER CONTROLS INTERNATIONAL,4408657,,PACKING,,,
"Natalie",EA,0,"ruggedly","quadriplegic",YE,FISHER CONTROLS INTERNATIONAL,23012119,,PACKING,,,
"infinities",EA,0,"altruism","discretion",US,FISHER CONTROLS INTERNATIONAL,93970813,,PACKING,,,
"stockpile's",EA,0,"pelvises","whipping",GB,FISHER CONTROLS INTERNATIONAL,88481708,,PACKING,,,
"Angie's",EA,0,"aneurism","expiation",CA,FISHER CONTROLS INTERNATIONAL,64436249,,PACKING,,,
"baton's",EA,0,"Tombaugh's","disorients",MX,FISHER CONTROLS INTERNATIONAL,293144,,PACKING,,,
"rabbit",EA,0,"resells","raggeder",BB,FISHER CONTROLS INTERNATIONAL,49924468,,PACKING,,,
"oppresses",EA,0,"Bremen","showplaces",BT,FISHER CONTROLS INTERNATIONAL,80972496,,PACKING,,,
