Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"anointed",EA,0,"leniency","supercomputers",US,FISHER CONTROLS INTERNATIONAL,43385426,,PACKING,,,
"polygraph's",EA,0,"quicksilver","Amber",GB,FISHER CONTROLS INTERNATIONAL,99274995,,PACKING,,,
"ionizing",EA,0,"lattice","compotes",CA,FISHER CONTROLS INTERNATIONAL,16066753,,PACKING,,,
"sills",EA,0,"superficiality","alfalfa's",MX,FISHER CONTROLS INTERNATIONAL,29814030,,PACKING,,,
"unbeliever",EA,0,"handballs","Mencius",BB,FISHER CONTROLS INTERNATIONAL,89590572,,PACKING,,,
"Clementine",EA,0,"trickle","Imodium",BT,FISHER CONTROLS INTERNATIONAL,26535145,,PACKING,,,
"faultfinding's",EA,0,"arraignments","specification",BW,FISHER CONTROLS INTERNATIONAL,52626525,,PACKING,,,
"coddling",EA,0,"collect","huckster's",GD,FISHER CONTROLS INTERNATIONAL,51535675,,PACKING,,,
"imploded",EA,0,"rascal","oppressive",GM,FISHER CONTROLS INTERNATIONAL,69232125,,PACKING,,,
"Mesolithic",EA,0,"admiration","foursquare",it,FISHER CONTROLS INTERNATIONAL,16041731,,PACKING,,,
"convection's",EA,0,"simulates","Wilkerson's",PK,FISHER CONTROLS INTERNATIONAL,18584721,,PACKING,,,
"allies",EA,0,"scalp's","speedster's",PL,FISHER CONTROLS INTERNATIONAL,97015060,,PACKING,,,
"clime",EA,0,"embedded","coronae",VA,FISHER CONTROLS INTERNATIONAL,57092464,,PACKING,,,
"adieu's",EA,0,"dynasty's","lasagnas",UZ,FISHER CONTROLS INTERNATIONAL,38747763,,PACKING,,,
"incarceration",EA,0,"Schumpeter","ballpoints",UA,FISHER CONTROLS INTERNATIONAL,76516205,,PACKING,,,
"Olive's",EA,0,"resolve's","powerboats",YE,FISHER CONTROLS INTERNATIONAL,76730450,,PACKING,,,
"foster",EA,0,"institute","Scaramouch",US,FISHER CONTROLS INTERNATIONAL,86864170,,PACKING,,,
"dotes",EA,0,"astrophysics's","grayed",GB,FISHER CONTROLS INTERNATIONAL,7290187,,PACKING,,,
"skimmed",EA,0,"oceanographic","supplants",CA,FISHER CONTROLS INTERNATIONAL,33345561,,PACKING,,,
"acumen's",EA,0,"broncos","abduction",MX,FISHER CONTROLS INTERNATIONAL,50074041,,PACKING,,,
"wattage",EA,0,"wideness","clutch's",BB,FISHER CONTROLS INTERNATIONAL,88279954,,PACKING,,,
"tiros",EA,0,"vocalizes","sculpt",BT,FISHER CONTROLS INTERNATIONAL,36594933,,PACKING,,,
"remittances",EA,0,"Naipaul's","Sakai",BW,FISHER CONTROLS INTERNATIONAL,10953769,,PACKING,,,
"definer",EA,0,"drippings","piggy",GD,FISHER CONTROLS INTERNATIONAL,45404481,,PACKING,,,
"attachés",EA,0,"simplex","jotting",GM,FISHER CONTROLS INTERNATIONAL,84179186,,PACKING,,,
"puritanically",EA,0,"Calvinist","summary's",it,FISHER CONTROLS INTERNATIONAL,83667000,,PACKING,,,
"jibbed",EA,0,"bedraggle","mouse's",PK,FISHER CONTROLS INTERNATIONAL,7189426,,PACKING,,,
"Protagoras",EA,0,"Jacklyn","intercession",PL,FISHER CONTROLS INTERNATIONAL,80138564,,PACKING,,,
"shoulders",EA,0,"condominium's","thoroughbred's",VA,FISHER CONTROLS INTERNATIONAL,50069186,,PACKING,,,
"dealing",EA,0,"blacking","prolongs",UZ,FISHER CONTROLS INTERNATIONAL,38605712,,PACKING,,,
"WHO's",EA,0,"automatics","jungles",UA,FISHER CONTROLS INTERNATIONAL,14780465,,PACKING,,,
"pinwheeled",EA,0,"countermanded","preordains",YE,FISHER CONTROLS INTERNATIONAL,17761524,,PACKING,,,
"seaweed's",EA,0,"uppercut","dandier",US,FISHER CONTROLS INTERNATIONAL,62866998,,PACKING,,,
"jaw's",EA,0,"mandibles","concisest",GB,FISHER CONTROLS INTERNATIONAL,627252,,PACKING,,,
"client",EA,0,"Tanganyika's","missal",CA,FISHER CONTROLS INTERNATIONAL,65639627,,PACKING,,,
"columbine",EA,0,"shaykh's","savors",MX,FISHER CONTROLS INTERNATIONAL,41117822,,PACKING,,,
"seminarians",EA,0,"voyaged","kleptomania's",BB,FISHER CONTROLS INTERNATIONAL,58391090,,PACKING,,,
"downpour's",EA,0,"skivvies","rounded",BT,FISHER CONTROLS INTERNATIONAL,88408899,,PACKING,,,
"silhouettes",EA,0,"deferring","clerked",BW,FISHER CONTROLS INTERNATIONAL,3070171,,PACKING,,,
"Tanzanian's",EA,0,"activates","gangland",GD,FISHER CONTROLS INTERNATIONAL,14931337,,PACKING,,,
"sequins",EA,0,"revolutionist's","strictly",GM,FISHER CONTROLS INTERNATIONAL,27347326,,PACKING,,,
"forbade",EA,0,"Imhotep","Kemp's",it,FISHER CONTROLS INTERNATIONAL,43724022,,PACKING,,,
"Thor's",EA,0,"Ecuadoran's","messenger's",PK,FISHER CONTROLS INTERNATIONAL,598759,,PACKING,,,
