Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"pump's",EA,0,"optometry","harping",US,FISHER CONTROLS INTERNATIONAL,33160887,,PACKING,,,
"Rosalinda's",EA,0,"bethought","telecommutes",GB,FISHER CONTROLS INTERNATIONAL,97593513,,PACKING,,,
"Phanerozoic",EA,0,"Jason","disordering",CA,FISHER CONTROLS INTERNATIONAL,89252114,,PACKING,,,
"originality",EA,0,"shapes","Dobbin's",MX,FISHER CONTROLS INTERNATIONAL,51106154,,PACKING,,,
"Nosferatu",EA,0,"Bond's","forming",BB,FISHER CONTROLS INTERNATIONAL,44692258,,PACKING,,,
"immediately",EA,0,"biofeedback's","Nikolai",BT,FISHER CONTROLS INTERNATIONAL,76392490,,PACKING,,,
"thunder's",EA,0,"miscues","basically",BW,FISHER CONTROLS INTERNATIONAL,40514045,,PACKING,,,
"speedboat",EA,0,"Wallace","stupefy",GD,FISHER CONTROLS INTERNATIONAL,37864974,,PACKING,,,
"proliferation's",EA,0,"Zubenelgenubi's","kindhearted",GM,FISHER CONTROLS INTERNATIONAL,38398503,,PACKING,,,
"profitably",EA,0,"horsewhipping","Patrica",it,FISHER CONTROLS INTERNATIONAL,66533665,,PACKING,,,
"interspersing",EA,0,"Ukraine's","usual's",PK,FISHER CONTROLS INTERNATIONAL,34190802,,PACKING,,,
"incrust",EA,0,"interloper","internal",PL,FISHER CONTROLS INTERNATIONAL,13586667,,PACKING,,,
"desperadoes",EA,0,"Gibraltar","atrium",VA,FISHER CONTROLS INTERNATIONAL,54036788,,PACKING,,,
"nondrinkers",EA,0,"burlesque's","needing",UZ,FISHER CONTROLS INTERNATIONAL,86553628,,PACKING,,,
"glibbest",EA,0,"OSHA's","disobeying",UA,FISHER CONTROLS INTERNATIONAL,90658878,,PACKING,,,
"kindergartens",EA,0,"Barrymore","snipes",YE,FISHER CONTROLS INTERNATIONAL,98990244,,PACKING,,,
"disgrace",EA,0,"ell's","tractor's",US,FISHER CONTROLS INTERNATIONAL,66638613,,PACKING,,,
"tracheae",EA,0,"capitalists","aggregation",GB,FISHER CONTROLS INTERNATIONAL,40676201,,PACKING,,,
"sarcastically",EA,0,"crewmen","sophomore",CA,FISHER CONTROLS INTERNATIONAL,85066238,,PACKING,,,
"enlightened",EA,0,"facilitates","corroborated",MX,FISHER CONTROLS INTERNATIONAL,32492215,,PACKING,,,
"contumacious",EA,0,"trundles","apprenticeships",BB,FISHER CONTROLS INTERNATIONAL,21247166,,PACKING,,,
"kitty's",EA,0,"hewers","precipices",BT,FISHER CONTROLS INTERNATIONAL,43626469,,PACKING,,,
"contagion's",EA,0,"biochemistry's","deadwood's",BW,FISHER CONTROLS INTERNATIONAL,41718292,,PACKING,,,
"double's",EA,0,"Wigner","conformation",GD,FISHER CONTROLS INTERNATIONAL,7202473,,PACKING,,,
"Ticketmaster",EA,0,"rhythm","inlays",GM,FISHER CONTROLS INTERNATIONAL,1810027,,PACKING,,,
"Heinz",EA,0,"Camel","macaw's",it,FISHER CONTROLS INTERNATIONAL,14473603,,PACKING,,,
"interprets",EA,0,"Antonia's","underclothes",PK,FISHER CONTROLS INTERNATIONAL,11837166,,PACKING,,,
