Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"Luddite's",EA,0,"reins","softeners",US,FISHER CONTROLS INTERNATIONAL,39200855,,PACKING,,,
"senselessness",EA,0,"morosely","guesstimates",GB,FISHER CONTROLS INTERNATIONAL,3557611,,PACKING,,,
"sidewall",EA,0,"acclaiming","freezer",CA,FISHER CONTROLS INTERNATIONAL,99877214,,PACKING,,,
"throat",EA,0,"renovator's","capping",MX,FISHER CONTROLS INTERNATIONAL,58561370,,PACKING,,,
"gaffed",EA,0,"quadrennial","scribe",BB,FISHER CONTROLS INTERNATIONAL,67271774,,PACKING,,,
"mudslide",EA,0,"befouled","bootblack's",BT,FISHER CONTROLS INTERNATIONAL,48692897,,PACKING,,,
"moneymaking",EA,0,"Powell's","rumination's",BW,FISHER CONTROLS INTERNATIONAL,42315721,,PACKING,,,
"nuzzle",EA,0,"neophyte","Wise's",GD,FISHER CONTROLS INTERNATIONAL,79241356,,PACKING,,,
"weed's",EA,0,"soy's","consumerism's",GM,FISHER CONTROLS INTERNATIONAL,41085748,,PACKING,,,
"Atlantic",EA,0,"Somalians","soirée",it,FISHER CONTROLS INTERNATIONAL,42650063,,PACKING,,,
"musicale",EA,0,"readying","irregular's",PK,FISHER CONTROLS INTERNATIONAL,48870885,,PACKING,,,
"grayed",EA,0,"concealment's","transcendentalists",PL,FISHER CONTROLS INTERNATIONAL,34733486,,PACKING,,,
"universals",EA,0,"twaddle","blooming",VA,FISHER CONTROLS INTERNATIONAL,84710378,,PACKING,,,
"intermarriages",EA,0,"solaces","pheromones",UZ,FISHER CONTROLS INTERNATIONAL,17289576,,PACKING,,,
"powwow's",EA,0,"cooping","harmonically",UA,FISHER CONTROLS INTERNATIONAL,27231802,,PACKING,,,
"Corot",EA,0,"Bastille","ethos's",YE,FISHER CONTROLS INTERNATIONAL,53894949,,PACKING,,,
"shepherdesses",EA,0,"sisterhoods","Indus",US,FISHER CONTROLS INTERNATIONAL,61264152,,PACKING,,,
"Krista's",EA,0,"Cabrera's","deathbed's",GB,FISHER CONTROLS INTERNATIONAL,65084371,,PACKING,,,
"lockers",EA,0,"label's","assonance",CA,FISHER CONTROLS INTERNATIONAL,4365570,,PACKING,,,
"Shackleton",EA,0,"absorb","rematches",MX,FISHER CONTROLS INTERNATIONAL,59023538,,PACKING,,,
"listened",EA,0,"lifeless","animatedly",BB,FISHER CONTROLS INTERNATIONAL,13781725,,PACKING,,,
"Hegel",EA,0,"effectuated","unstablest",BT,FISHER CONTROLS INTERNATIONAL,44378210,,PACKING,,,
"emperor",EA,0,"anniversaries","unlikelier",BW,FISHER CONTROLS INTERNATIONAL,51835881,,PACKING,,,
"feints",EA,0,"snort's","spastic",GD,FISHER CONTROLS INTERNATIONAL,87008805,,PACKING,,,
"purchaser",EA,0,"compositors","disposable's",GM,FISHER CONTROLS INTERNATIONAL,69531427,,PACKING,,,
"semitone's",EA,0,"Corvallis's","accusers",it,FISHER CONTROLS INTERNATIONAL,47032224,,PACKING,,,
"plasma's",EA,0,"clatter","priestess",PK,FISHER CONTROLS INTERNATIONAL,70666784,,PACKING,,,
"diminutive's",EA,0,"kid's","inversely",PL,FISHER CONTROLS INTERNATIONAL,46850509,,PACKING,,,
"Frankfort's",EA,0,"tonight's","Ritz's",VA,FISHER CONTROLS INTERNATIONAL,66593151,,PACKING,,,
"woodenness's",EA,0,"captivated","Aladdin",UZ,FISHER CONTROLS INTERNATIONAL,31749729,,PACKING,,,
"troubadour's",EA,0,"confederacy","condemns",UA,FISHER CONTROLS INTERNATIONAL,9497559,,PACKING,,,
