Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"cancers",EA,0,"enthusiasm's","located",US,FISHER CONTROLS INTERNATIONAL,17322321,,PACKING,,,
"tranquilizes",EA,0,"salmonella","precondition",GB,FISHER CONTROLS INTERNATIONAL,59260299,,PACKING,,,
"Mulroney's",EA,0,"dabbler's","bunched",CA,FISHER CONTROLS INTERNATIONAL,6181645,,PACKING,,,
"uttering",EA,0,"preamble's","Nielsen",MX,FISHER CONTROLS INTERNATIONAL,29370749,,PACKING,,,
"hankie's",EA,0,"puppet","chest's",BB,FISHER CONTROLS INTERNATIONAL,41334565,,PACKING,,,
"mutates",EA,0,"installation","perjured",BT,FISHER CONTROLS INTERNATIONAL,35865169,,PACKING,,,
"toffee",EA,0,"nettled","alarmists",BW,FISHER CONTROLS INTERNATIONAL,8814516,,PACKING,,,
"zilch's",EA,0,"Bullock","O'Connell",GD,FISHER CONTROLS INTERNATIONAL,61801308,,PACKING,,,
"Max's",EA,0,"cokes","Guinevere",GM,FISHER CONTROLS INTERNATIONAL,72189620,,PACKING,,,
"copycatted",EA,0,"versatility's","handsomer",it,FISHER CONTROLS INTERNATIONAL,2909680,,PACKING,,,
"heist",EA,0,"cogwheel","dirigible's",PK,FISHER CONTROLS INTERNATIONAL,31413154,,PACKING,,,
"commissariat's",EA,0,"thiamine's","Visa's",PL,FISHER CONTROLS INTERNATIONAL,65382518,,PACKING,,,
"pasteboard",EA,0,"Farley","Fremont",VA,FISHER CONTROLS INTERNATIONAL,35736360,,PACKING,,,
"squish",EA,0,"vulgarer","chlorofluorocarbon's",UZ,FISHER CONTROLS INTERNATIONAL,17760703,,PACKING,,,
"Rowling's",EA,0,"Wolsey","Brandon's",UA,FISHER CONTROLS INTERNATIONAL,28758903,,PACKING,,,
"lighters",EA,0,"transpiration","field's",YE,FISHER CONTROLS INTERNATIONAL,43530400,,PACKING,,,
"abdomens",EA,0,"sightseers","depressives",US,FISHER CONTROLS INTERNATIONAL,95931552,,PACKING,,,
"Hansel's",EA,0,"televangelist","resemblances",GB,FISHER CONTROLS INTERNATIONAL,72173818,,PACKING,,,
"browser",EA,0,"infernos","painting",CA,FISHER CONTROLS INTERNATIONAL,61834327,,PACKING,,,
"unsightliest",EA,0,"staccati","airsickness's",MX,FISHER CONTROLS INTERNATIONAL,6794813,,PACKING,,,
"decade",EA,0,"inlet","disinterring",BB,FISHER CONTROLS INTERNATIONAL,47023497,,PACKING,,,
"capability's",EA,0,"reptilian","Brant",BT,FISHER CONTROLS INTERNATIONAL,16252851,,PACKING,,,
"transceiver",EA,0,"navigate","tertiary",BW,FISHER CONTROLS INTERNATIONAL,86569534,,PACKING,,,
"inconspicuousness",EA,0,"isolated","jackdaw",GD,FISHER CONTROLS INTERNATIONAL,32633663,,PACKING,,,
"slivered",EA,0,"galleons","clotting",GM,FISHER CONTROLS INTERNATIONAL,52781648,,PACKING,,,
"Glaxo",EA,0,"Wagner","dependent",it,FISHER CONTROLS INTERNATIONAL,56516334,,PACKING,,,
"darkens",EA,0,"overlays","Bogotá's",PK,FISHER CONTROLS INTERNATIONAL,79477425,,PACKING,,,
"tinderbox's",EA,0,"untoward","tumor's",PL,FISHER CONTROLS INTERNATIONAL,92023139,,PACKING,,,
"Loewe",EA,0,"Oder's","telecast",VA,FISHER CONTROLS INTERNATIONAL,29080352,,PACKING,,,
"detachable",EA,0,"hauteur's","Korea",UZ,FISHER CONTROLS INTERNATIONAL,18860997,,PACKING,,,
"mediated",EA,0,"coerces","lacunas",UA,FISHER CONTROLS INTERNATIONAL,11423807,,PACKING,,,
"Leticia",EA,0,"improvement's","Hepplewhite",YE,FISHER CONTROLS INTERNATIONAL,48533451,,PACKING,,,
"alternates",EA,0,"anarchy","handiest",US,FISHER CONTROLS INTERNATIONAL,90272475,,PACKING,,,
"townsmen",EA,0,"disregard's","facing's",GB,FISHER CONTROLS INTERNATIONAL,28954417,,PACKING,,,
"wastage",EA,0,"incubus's","controlling",CA,FISHER CONTROLS INTERNATIONAL,80775640,,PACKING,,,
"squiggly",EA,0,"rhetorical","titans",MX,FISHER CONTROLS INTERNATIONAL,77981908,,PACKING,,,
"oiliness",EA,0,"cashiers","Marple's",BB,FISHER CONTROLS INTERNATIONAL,72672297,,PACKING,,,
"iceberg",EA,0,"implanted","becalmed",BT,FISHER CONTROLS INTERNATIONAL,78121255,,PACKING,,,
"dumpy",EA,0,"glaucoma's","operated",BW,FISHER CONTROLS INTERNATIONAL,52183898,,PACKING,,,
"califs",EA,0,"swastikas","bloodstream's",GD,FISHER CONTROLS INTERNATIONAL,50362298,,PACKING,,,
"garrote",EA,0,"Thomas's","Beebe",GM,FISHER CONTROLS INTERNATIONAL,58642082,,PACKING,,,
"dismisses",EA,0,"Margaret","opened",it,FISHER CONTROLS INTERNATIONAL,52442113,,PACKING,,,
"stink",EA,0,"velours's","wolfram's",PK,FISHER CONTROLS INTERNATIONAL,63477973,,PACKING,,,
"Laius",EA,0,"rituals","catches",PL,FISHER CONTROLS INTERNATIONAL,45304652,,PACKING,,,
"penologist",EA,0,"moonscape","typified",VA,FISHER CONTROLS INTERNATIONAL,52340510,,PACKING,,,
"Duroc",EA,0,"deftest","quarterbacking",UZ,FISHER CONTROLS INTERNATIONAL,67205538,,PACKING,,,
"Hyundai's",EA,0,"fission","process",UA,FISHER CONTROLS INTERNATIONAL,20830240,,PACKING,,,
"abyss's",EA,0,"gnawing","gobble",YE,FISHER CONTROLS INTERNATIONAL,55518409,,PACKING,,,
"minaret",EA,0,"dissing","southwestern",US,FISHER CONTROLS INTERNATIONAL,79804134,,PACKING,,,
"markdown",EA,0,"copulas","campy",GB,FISHER CONTROLS INTERNATIONAL,73998999,,PACKING,,,
"éclair",EA,0,"pustule's","matchmaker's",CA,FISHER CONTROLS INTERNATIONAL,808618,,PACKING,,,
"amenity",EA,0,"MSG's","kinsman's",MX,FISHER CONTROLS INTERNATIONAL,45003008,,PACKING,,,
"Zamboni",EA,0,"Lin's","Melody",BB,FISHER CONTROLS INTERNATIONAL,79917682,,PACKING,,,
"playpen's",EA,0,"Sancho's","superimposes",BT,FISHER CONTROLS INTERNATIONAL,69863453,,PACKING,,,
